年,原付第一種(50cc以下),原付第二種(51～125cc),軽二輪車(126～250cc),小型二輪車(251cc以上),計,合計,前年比(%)
1970,895599,1407205,259145,385723,2052073,2947672,114.4
1975,1030822,1887701,331733,552291,2771725,3802547,84.3
1980,2493910,2181206,660831,1098577,3940614,6434524,143.8
1985,2014850,1373423,469728,678346,2521497,4536347,112.7
1990,1343220,686734,270304,506637,1463675,2806895,100.4
1995,951803,1038938,217738,544760,1801436,2753239,101.0
2000,636546,630221,297433,851191,1778845,2415391,107.3
2005,298549,260343,279274,953419,1493036,1791585,103.0
2010,87513,80630,108950,387082,576662,664175,103.0
2014,76569,31529,93536,395424,520489,597058,106.0
2015,66438,30886,76945,348125,455956,522394,87.5
2016,99319,31465,73194,356558,461217,560536,107.3
2017,130149,33665,78993,404176,516834,646983,115.4
2018,140921,59451,61658,389854,510963,651884,100.8
2019,131013,47945,54682,333736,436363,567158,87.0
2020,122209,38950,53399,269944,362387,484596,85.4
2021,142412,54280,58001,392261,504542,646954,133.5
2022,152547,54703,53564,434154,542421,694968,107.4
2023,93101,52342,54237,483148,589727,682828,98.3
